DATE,SMU39000003000000007SA
1/1/2001,41.1
2/1/2001,41.1
3/1/2001,40.8
4/1/2001,40.6
5/1/2001,41
6/1/2001,41.1
7/1/2001,41.9
8/1/2001,41.2
9/1/2001,41.2
10/1/2001,40.8
11/1/2001,41.5
12/1/2001,41.8
1/1/2002,40.5
2/1/2002,40.9
3/1/2002,41.5
4/1/2002,41.8
5/1/2002,41.5
6/1/2002,41.7
7/1/2002,41.6
8/1/2002,41.5
9/1/2002,41.5
10/1/2002,41.3
11/1/2002,41.1
12/1/2002,41.5
1/1/2003,41.4
2/1/2003,41.2
3/1/2003,41.4
4/1/2003,41.2
5/1/2003,41
6/1/2003,40.5
7/1/2003,40.6
8/1/2003,40.1
9/1/2003,40.9
10/1/2003,41.2
11/1/2003,41.1
12/1/2003,41.1
1/1/2004,41.4
2/1/2004,41.4
3/1/2004,41.3
4/1/2004,41.5
5/1/2004,41.8
6/1/2004,41.9
7/1/2004,41.9
8/1/2004,41.7
9/1/2004,41.8
10/1/2004,41.6
11/1/2004,41.9
12/1/2004,42.1
1/1/2005,41.9
2/1/2005,42
3/1/2005,41.5
4/1/2005,41.4
5/1/2005,41.4
6/1/2005,41.4
7/1/2005,41.1
8/1/2005,41.4
9/1/2005,41.7
10/1/2005,41.5
11/1/2005,41.1
12/1/2005,41
1/1/2006,41.2
2/1/2006,41.7
3/1/2006,41.8
4/1/2006,40.8
5/1/2006,41.5
6/1/2006,41.4
7/1/2006,42.1
8/1/2006,41.3
9/1/2006,41.1
10/1/2006,41.2
11/1/2006,41.4
12/1/2006,41.7
1/1/2007,42
2/1/2007,39.4
3/1/2007,41.6
4/1/2007,41.5
5/1/2007,41.7
6/1/2007,42
7/1/2007,42
8/1/2007,42.1
9/1/2007,41.9
10/1/2007,41.8
11/1/2007,42.1
12/1/2007,41.5
1/1/2008,41
2/1/2008,41.7
3/1/2008,41.4
4/1/2008,41.6
5/1/2008,41.3
6/1/2008,41.1
7/1/2008,41
8/1/2008,40.7
9/1/2008,40.6
10/1/2008,40.4
11/1/2008,39.9
12/1/2008,39.4
1/1/2009,38.7
2/1/2009,38.3
3/1/2009,38.2
4/1/2009,38.6
5/1/2009,38.6
6/1/2009,38.9
7/1/2009,39.5
8/1/2009,39.6
9/1/2009,39.2
10/1/2009,39.5
11/1/2009,39.6
12/1/2009,40.1
1/1/2010,40.5
2/1/2010,40.4
3/1/2010,40.4
4/1/2010,40.5
5/1/2010,40.3
6/1/2010,40.3
7/1/2010,40.5
8/1/2010,40.1
9/1/2010,40.1
10/1/2010,40.3
11/1/2010,40.2
12/1/2010,40.1
1/1/2011,40.3
2/1/2011,41.2
3/1/2011,40.8
4/1/2011,40.5
5/1/2011,40.8
6/1/2011,40.7
7/1/2011,40.6
8/1/2011,41.1
9/1/2011,41.1
10/1/2011,40.9
11/1/2011,41
12/1/2011,41.1
1/1/2012,41.2
2/1/2012,41.4
3/1/2012,41.6
4/1/2012,41.8
5/1/2012,41.5
6/1/2012,41
7/1/2012,41.2
8/1/2012,41
9/1/2012,41.4
10/1/2012,41.5
11/1/2012,41.6
12/1/2012,41.8
1/1/2013,41.8
2/1/2013,41.9
3/1/2013,41.8
4/1/2013,42
5/1/2013,42.1
6/1/2013,42.1
7/1/2013,41.9
8/1/2013,42.1
9/1/2013,42.3
10/1/2013,42.4
11/1/2013,42.7
12/1/2013,42.4
1/1/2014,41.3
2/1/2014,42.5
3/1/2014,42.4
4/1/2014,42.6
5/1/2014,42.6
6/1/2014,42.8
7/1/2014,42.7
8/1/2014,42.8
9/1/2014,42.9
10/1/2014,42.9
11/1/2014,42.9
12/1/2014,43.1
1/1/2015,42.8
2/1/2015,42.1
3/1/2015,42.2
4/1/2015,42.1
5/1/2015,41.8
6/1/2015,42.1
7/1/2015,42.1
8/1/2015,41.7
9/1/2015,41.7
10/1/2015,42.4
11/1/2015,42.2
12/1/2015,42
1/1/2016,42.3
2/1/2016,42.4
3/1/2016,42.7
4/1/2016,42.8
5/1/2016,42.8
6/1/2016,42.3
7/1/2016,43
8/1/2016,42.9
9/1/2016,42.9
10/1/2016,42.6
11/1/2016,42.6
12/1/2016,41.9
1/1/2017,42.6
