DATE,OHNA
1/1/2001,5605.5
2/1/2001,5598.8
3/1/2001,5592.2
4/1/2001,5579
5/1/2001,5564.8
6/1/2001,5552.9
7/1/2001,5533.7
8/1/2001,5522.9
9/1/2001,5507.1
10/1/2001,5498.4
11/1/2001,5485.5
12/1/2001,5474
1/1/2002,5466.9
2/1/2002,5462.9
3/1/2002,5458
4/1/2002,5446.4
5/1/2002,5446.8
6/1/2002,5445.8
7/1/2002,5446.3
8/1/2002,5444.1
9/1/2002,5443.9
10/1/2002,5437.6
11/1/2002,5431.9
12/1/2002,5422.6
1/1/2003,5422.9
2/1/2003,5407
3/1/2003,5398.7
4/1/2003,5405.4
5/1/2003,5404.7
6/1/2003,5394
7/1/2003,5391.7
8/1/2003,5391
9/1/2003,5387.5
10/1/2003,5388.4
11/1/2003,5389.8
12/1/2003,5390.3
1/1/2004,5390.7
2/1/2004,5393.5
3/1/2004,5403.5
4/1/2004,5401.7
5/1/2004,5401.9
6/1/2004,5409
7/1/2004,5411.7
8/1/2004,5413.6
9/1/2004,5409.9
10/1/2004,5423.7
11/1/2004,5420.6
12/1/2004,5417.3
1/1/2005,5406.7
2/1/2005,5414.2
3/1/2005,5416.2
4/1/2005,5430.4
5/1/2005,5427.9
6/1/2005,5414.9
7/1/2005,5434.5
8/1/2005,5430.2
9/1/2005,5437.6
10/1/2005,5434.8
11/1/2005,5439.1
12/1/2005,5434.5
1/1/2006,5443.9
2/1/2006,5446.9
3/1/2006,5453.9
4/1/2006,5449.2
5/1/2006,5440.2
6/1/2006,5437.5
7/1/2006,5432.5
8/1/2006,5430.4
9/1/2006,5428.1
10/1/2006,5423.4
11/1/2006,5420
12/1/2006,5426.1
1/1/2007,5435.8
2/1/2007,5417.9
3/1/2007,5432.1
4/1/2007,5433.6
5/1/2007,5434.8
6/1/2007,5440.1
7/1/2007,5428.4
8/1/2007,5421.7
9/1/2007,5417.1
10/1/2007,5420.6
11/1/2007,5422.4
12/1/2007,5418.1
1/1/2008,5428.4
2/1/2008,5424.3
3/1/2008,5389.8
4/1/2008,5399.2
5/1/2008,5388.7
6/1/2008,5382.5
7/1/2008,5370.7
8/1/2008,5358.9
9/1/2008,5342.6
10/1/2008,5315.6
11/1/2008,5284.7
12/1/2008,5255.5
1/1/2009,5207
2/1/2009,5178.6
3/1/2009,5139.4
4/1/2009,5094.6
5/1/2009,5074
6/1/2009,5048.9
7/1/2009,5036.9
8/1/2009,5026.7
9/1/2009,5026.3
10/1/2009,5015.2
11/1/2009,5011.7
12/1/2009,5008.1
1/1/2010,5008.5
2/1/2010,5002.8
3/1/2010,5008.9
4/1/2010,5021.6
5/1/2010,5037
6/1/2010,5038.2
7/1/2010,5042.9
8/1/2010,5038.5
9/1/2010,5039.8
10/1/2010,5055.4
11/1/2010,5062
12/1/2010,5066.9
1/1/2011,5068.3
2/1/2011,5077.2
3/1/2011,5084
4/1/2011,5096.9
5/1/2011,5089.8
6/1/2011,5088
7/1/2011,5122.1
8/1/2011,5128
9/1/2011,5127.4
10/1/2011,5123.5
11/1/2011,5138.9
12/1/2011,5145.5
1/1/2012,5163.3
2/1/2012,5179.8
3/1/2012,5200.2
4/1/2012,5193.4
5/1/2012,5202.1
6/1/2012,5212.9
7/1/2012,5200.3
8/1/2012,5203.3
9/1/2012,5207.5
10/1/2012,5219.5
11/1/2012,5216.6
12/1/2012,5221.3
1/1/2013,5227.3
2/1/2013,5240.1
3/1/2013,5243.2
4/1/2013,5253.2
5/1/2013,5259.8
6/1/2013,5265.3
7/1/2013,5263.6
8/1/2013,5274.7
9/1/2013,5281.7
10/1/2013,5285.8
11/1/2013,5294.3
12/1/2013,5297.3
1/1/2014,5296.2
2/1/2014,5303.4
3/1/2014,5312.1
4/1/2014,5323.6
5/1/2014,5332.1
6/1/2014,5340.6
7/1/2014,5335.3
8/1/2014,5354.5
9/1/2014,5365.7
10/1/2014,5374.1
11/1/2014,5386.1
12/1/2014,5393.3
1/1/2015,5390.1
2/1/2015,5395.7
3/1/2015,5396.3
4/1/2015,5402
5/1/2015,5424.4
6/1/2015,5423.1
7/1/2015,5430.1
8/1/2015,5435.3
9/1/2015,5436.2
10/1/2015,5444.8
11/1/2015,5448.9
12/1/2015,5454
1/1/2016,5470.5
2/1/2016,5476.6
3/1/2016,5482.2
4/1/2016,5476.9
5/1/2016,5474.3
6/1/2016,5472
7/1/2016,5490.6
8/1/2016,5488.1
9/1/2016,5495.4
10/1/2016,5491.5
11/1/2016,5501.2
12/1/2016,5503.7
1/1/2017,5506.8
