Elect,Income,Unemp
5.54315456,3.972271542,0.038
5.89352911,3.959170306,0.038
5.90056676,3.95470581,0.038
5.3837658,3.946603164,0.038
5.41958586,3.925831652,0.039
5.515675,3.916556876,0.041
5.53390441,3.922854288,0.042
5.46234279,3.92210329,0.044
5.3415716,3.903844727,0.047
5.32716405,3.908211292,0.049
4.87556466,3.899078571,0.052
4.90190841,3.890847698,0.054
4.46320673,3.88054362,0.056
4.76912193,3.881885087,0.057
4.77019503,3.885033435,0.058
4.81277858,3.885491614,0.059
5.09480697,3.896302506,0.059
5.13482203,3.906520658,0.058
5.07762141,3.906473316,0.057
4.99858874,3.901214914,0.057
5.10836985,3.89817155,0.057
4.9649479,3.892322155,0.057
4.82104961,3.88952837,0.058
4.45600121,3.888195427,0.059
4.66682155,3.878708427,0.061
4.75138149,3.867464656,0.062
4.77548354,3.86991614,0.063
5.01420954,3.891195097,0.064
4.86779802,3.899390248,0.064
5.0134084,3.898831862,0.064
4.44878093,3.899504507,0.064
5.20883964,3.911005571,0.063
4.58379221,3.930577958,0.062
5.01232502,3.955927449,0.061
4.99067199,3.955900076,0.06
4.49406968,3.938632943,0.061
4.71893289,3.921640733,0.061
4.77174101,3.931046811,0.061
4.90841599,3.948651213,0.062
4.76753674,3.968291469,0.062
5.15664856,3.966772637,0.062
4.97491791,3.964698281,0.062
4.84509585,3.979835856,0.063
4.95542546,4.01054601,0.063
4.92537589,4.028760589,0.063
4.95662018,4.016977215,0.063
4.89607939,3.975128371,0.063
4.68155913,3.938640269,0.063
4.87470136,3.91354746,0.063
4.66968624,3.89959817,0.062
5.00002277,3.905535396,0.061
4.82265044,3.920967557,0.06
4.99561153,3.943724154,0.059
5.09713483,3.957820843,0.058
4.98373158,3.947862749,0.057
5.14367277,3.940637421,0.058
5.02339574,3.905896522,0.058
5.04032298,3.919308267,0.058
4.96719277,3.959536036,0.057
4.736256,3.979174471,0.056
4.39672162,3.97473865,0.055
4.48740385,3.991154213,0.053
4.72534981,4.000635755,0.053
4.49508705,3.996374426,0.053
4.87879312,3.997871372,0.053
4.71923298,3.998804042,0.054
4.88415199,3.983315339,0.055
4.88009306,3.967941091,0.055
4.67375068,3.992233218,0.055
4.84418564,4.024956335,0.055
4.50878956,4.053554683,0.055
4.37572365,4.066215311,0.055
4.60900632,4.087204506,0.055
4.61595427,4.081340714,0.055
4.77748444,4.058676386,0.055
